time,action,user_out,user_in,user_total,floor,calls,orders
0,open,0,0,0,1,[],[]
10,open,0,0,0,1,[],[]
20,open,0,0,0,1,[],[]
30,open,0,0,0,1,[],[]
40,open,0,0,0,1,[],[]
50,open,0,0,0,1,[],[]
60,open,0,0,0,1,[],[]
70,open,0,0,0,1,[],[]
80,open,0,0,0,1,[],[]
90,open,0,0,0,1,[],[]
100,open,0,0,0,1,[],[]
110,open,0,0,0,1,[],[]
120,open,0,0,0,1,[],[]
130,open,0,0,0,1,[],[]
140,open,0,0,0,1,[],[]
150,open,0,0,0,1,[],[]
160,open,0,0,0,1,[],[]
170,open,0,0,0,1,[],[]
180,open,0,0,0,1,[],[]
190,open,0,0,0,1,[],[]
200,open,0,0,0,1,[],[]
210,open,0,0,0,1,[],[]
220,open,0,0,0,1,[],[]
230,open,0,0,0,1,[],[]
240,open,0,0,0,1,[],[]
250,open,0,0,0,1,[],[]
260,open,0,0,0,1,[],[]
270,open,0,0,0,1,[],[]
280,open,0,0,0,1,[],[]
290,open,0,0,0,1,[],[]
300,open,0,0,0,1,[],[]
310,up,0,0,0,1,"[(310, 9)]",[]
320,up,0,0,0,2,"[(310, 9), (320, 10), (320, 4)]",[]
330,up,0,0,0,3,"[(310, 9), (320, 10), (320, 4)]",[]
340,open,0,1,1,4,"[(310, 9), (320, 10)]","[(340, 8)]"
350,up,0,0,1,4,"[(310, 9), (320, 10)]","[(340, 8)]"
360,up,0,0,1,5,"[(310, 9), (320, 10)]","[(340, 8)]"
370,up,0,0,1,6,"[(310, 9), (320, 10)]","[(340, 8)]"
380,up,0,0,1,7,"[(310, 9), (320, 10), (380, 8)]","[(340, 8)]"
390,open,1,1,1,8,"[(310, 9), (320, 10)]","[(390, 9)]"
400,up,0,0,1,8,"[(310, 9), (320, 10)]","[(390, 9)]"
410,open,1,1,1,9,"[(320, 10)]","[(410, 6)]"
420,down,0,0,1,9,"[(320, 10)]","[(410, 6)]"
430,down,0,0,1,8,"[(320, 10)]","[(410, 6)]"
440,down,0,0,1,7,"[(320, 10)]","[(410, 6)]"
450,open,1,0,0,6,"[(320, 10), (450, 7)]",[]
460,up,0,0,0,6,"[(320, 10), (450, 7), (460, 8)]",[]
470,open,0,1,1,7,"[(320, 10), (460, 8)]","[(470, 10)]"
480,up,0,0,1,7,"[(320, 10), (460, 8)]","[(470, 10)]"
490,open,0,1,2,8,"[(320, 10)]","[(470, 10), (490, 6)]"
500,up,0,0,2,8,"[(320, 10)]","[(470, 10), (490, 6)]"
510,up,0,0,2,9,"[(320, 10)]","[(470, 10), (490, 6)]"
520,open,1,1,2,10,[],"[(490, 6), (520, 1)]"
530,down,0,0,2,10,[],"[(490, 6), (520, 1)]"
540,down,0,0,2,9,[],"[(490, 6), (520, 1)]"
550,down,0,0,2,8,[],"[(490, 6), (520, 1)]"
560,down,0,0,2,7,[],"[(490, 6), (520, 1)]"
570,open,1,0,1,6,[],"[(520, 1)]"
580,down,0,0,1,6,[],"[(520, 1)]"
590,down,0,0,1,5,[],"[(520, 1)]"
600,down,0,0,1,4,[],"[(520, 1)]"
610,down,0,0,1,3,[],"[(520, 1)]"
620,down,0,0,1,2,[],"[(520, 1)]"
630,open,1,0,0,1,[],[]
640,open,0,0,0,1,[],[]
650,open,0,0,0,1,[],[]
660,up,0,0,0,1,"[(660, 8)]",[]
670,up,0,0,0,2,"[(660, 8)]",[]
680,up,0,0,0,3,"[(660, 8), (680, 2)]",[]
690,up,0,0,0,4,"[(660, 8), (680, 2)]",[]
700,up,0,0,0,5,"[(660, 8), (680, 2), (700, 7)]",[]
710,up,0,0,0,6,"[(660, 8), (680, 2), (700, 7)]",[]
720,open,0,1,1,7,"[(660, 8), (680, 2)]","[(720, 5)]"
730,up,0,0,1,7,"[(660, 8), (680, 2)]","[(720, 5)]"
740,open,0,3,4,8,"[(680, 2)]","[(720, 5), (740, 1), (740, 6)]"
750,down,0,0,4,8,"[(680, 2)]","[(720, 5), (740, 1), (740, 6)]"
760,down,0,0,4,7,"[(680, 2)]","[(720, 5), (740, 1), (740, 6)]"
770,open,1,0,3,6,"[(680, 2)]","[(720, 5), (740, 1)]"
780,down,0,0,3,6,"[(680, 2), (780, 1)]","[(720, 5), (740, 1)]"
790,open,2,0,1,5,"[(680, 2), (780, 1), (790, 10)]","[(740, 1)]"
800,down,0,0,1,5,"[(680, 2), (780, 1), (790, 10)]","[(740, 1)]"
810,down,0,0,1,4,"[(680, 2), (780, 1), (790, 10)]","[(740, 1)]"
820,down,0,0,1,3,"[(680, 2), (780, 1), (790, 10)]","[(740, 1)]"
830,open,0,3,4,2,"[(780, 1), (790, 10)]","[(740, 1), (830, 9)]"
840,down,0,0,4,2,"[(780, 1), (790, 10)]","[(740, 1), (830, 9)]"
850,open,2,1,3,1,"[(790, 10)]","[(830, 9), (850, 10)]"
860,up,0,0,3,1,"[(790, 10)]","[(830, 9), (850, 10)]"
870,up,0,0,3,2,"[(790, 10)]","[(830, 9), (850, 10)]"
880,up,0,0,3,3,"[(790, 10)]","[(830, 9), (850, 10)]"
890,up,0,0,3,4,"[(790, 10)]","[(830, 9), (850, 10)]"
900,up,0,0,3,5,"[(790, 10)]","[(830, 9), (850, 10)]"
910,up,0,0,3,6,"[(790, 10)]","[(830, 9), (850, 10)]"
920,up,0,0,3,7,"[(790, 10)]","[(830, 9), (850, 10)]"
930,up,0,0,3,8,"[(790, 10)]","[(830, 9), (850, 10)]"
940,open,2,0,1,9,"[(790, 10)]","[(850, 10)]"
950,up,0,0,1,9,"[(790, 10)]","[(850, 10)]"
960,open,1,1,1,10,[],"[(960, 1)]"
970,down,0,0,1,10,[],"[(960, 1)]"
980,down,0,0,1,9,[],"[(960, 1)]"
990,down,0,0,1,8,[],"[(960, 1)]"
1000,down,0,0,1,7,[],"[(960, 1)]"
1010,down,0,0,1,6,[],"[(960, 1)]"
1020,down,0,0,1,5,[],"[(960, 1)]"
1030,down,0,0,1,4,[],"[(960, 1)]"
1040,down,0,0,1,3,[],"[(960, 1)]"
1050,down,0,0,1,2,[],"[(960, 1)]"
1060,open,1,0,0,1,[],[]
1070,open,0,0,0,1,[],[]
1080,open,0,0,0,1,[],[]
