x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
0.869,30,33.8,0,1,0.2,1992,1,1,1,1903
0.759,27,21.7,2,0,3.5,1995,1,1,2,1313
0.456,29,37.6,2,0,3.1,1993,0,0,0,1484
0.06,35,27.5,2,0,4.7,1988,0,0,1,1188
0.939,19,30.7,0,0,3.6,2003,1,1,2,842
0.261,25,22.6,2,1,5.0,1998,1,0,1,972
0.427,32,24.8,0,0,3.8,1991,0,1,1,748
0.26,34,23.6,2,0,2.2,1989,0,0,1,1312
0.554,25,27.5,2,0,0.9,1997,1,1,0,1263
0.114,31,25.4,0,0,0.5,1991,0,1,2,1779
0.423,36,35.6,1,0,13.1,1987,1,0,1,1423
0.875,26,39.7,1,0,7.0,1997,1,0,2,1397
0.197,26,33.5,2,1,15.8,1996,0,0,3,1174
0.135,24,28.0,1,0,1.0,1999,1,1,3,1375
0.512,26,26.3,0,0,4.9,1996,0,1,1,1494
0.672,39,27.7,1,0,0.1,1983,0,1,4,1014
0.694,34,43.5,2,1,1.7,1988,1,1,4,1556
0.669,26,36.0,2,1,1.7,1996,1,1,1,1249
0.665,34,21.9,1,0,1.5,1989,0,1,1,1008
0.793,27,30.9,0,0,2.1,1996,1,1,1,1005
0.344,29,32.6,1,0,1.4,1993,0,0,1,1474
0.824,37,29.1,2,0,7.8,1985,0,1,1,925
0.695,34,24.2,2,1,0.1,1988,0,1,0,1520
0.172,28,19.7,2,0,8.3,1994,1,1,4,1812
0.023,26,17.5,1,1,11.0,1997,1,1,2,1513
0.466,28,15.7,2,0,3.8,1995,1,1,3,1756
0.198,19,38.0,1,0,9.2,2004,1,1,4,1352
0.45,27,29.5,0,1,0.8,1995,0,0,2,1445
0.978,34,37.7,2,1,3.5,1989,1,0,2,1490
0.401,20,34.2,1,1,3.8,2003,0,1,2,1005
0.709,31,33.3,2,0,20.8,1992,1,0,1,1431
0.556,31,34.1,2,0,1.7,1992,1,0,2,1519
0.664,24,25.1,1,0,10.0,1999,0,1,1,1120
0.427,29,26.6,2,1,0.2,1993,1,0,1,1291
0.599,22,30.7,2,1,14.3,2000,0,1,3,1144
0.777,36,29.6,0,0,8.2,1987,1,1,1,1103
0.345,40,40.5,0,1,4.9,1982,1,1,1,1051
0.053,23,36.7,2,1,5.2,1999,0,1,3,1259
0.711,36,38.5,0,0,1.3,1987,0,1,3,1325
0.534,31,25.1,2,0,0.0,1991,1,1,2,1524
0.379,33,32.5,0,1,2.7,1989,1,1,5,1181
0.452,31,27.5,1,1,3.3,1992,1,0,5,1985
0.042,31,22.6,1,0,2.0,1992,0,1,2,1447
